Fecha;Hora Movimiento HHMM;Clase de Vuelo;Clasificaci?n Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave;Aeronave APC
16/10/2016;16:06;Regular;Cabotaje;Aterrizaje;SABE;SAZB;Austral Líneas Aéreas;EMBRAER E-190;C
18/03/2016;02:52;Regular;Cabotaje;Despegue;SABE;SAWG;LATAM Argentina;AIRBUS A-320;C
06/12/2014;22:28;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SA32;SADM;N/A;CESSNA C-152;A
03/02/2016;23:53;Regular;Cabotaje;Despegue;SASJ;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
30/09/2014;19:52;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADM;SADM;N/A;CESSNA C-150;A
27/08/2015;11:00;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SA24;N/A;CESSNA Citation;B
12/05/2015;15:40;Regular;Internacional;Aterrizaje;SGAS;SABE;Aerolíneas Argentinas;BOEING B-737;C
22/12/2017;03:02;Regular;Internacional;Aterrizaje;SBGR;SAAR;TAM Linhas Aéreas;AIRBUS A-320;C
01/01/2014;16:50;Regular;Cabotaje;Aterrizaje;SACO;SABE;Aerolíneas Argentinas;BOEING B-737;D
23/05/2016;10:53;Regular;Cabotaje;Despegue;SARC;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
09/09/2016;20:08;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SARE;SARF;N/A;PIPER PA-46;A
26/04/2014;20:21;Regular;Cabotaje;Despegue;SAWC;SABE;Aerolíneas Argentinas;BOEING B-737;D
09/03/2017;09:34;Regular;Internacional;Aterrizaje;SPJC;SAEZ;LATAM Perú;BOEING B-767;C
14/05/2015;21:00;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SADM;N/A;CESSNA C-150;A
24/11/2015;20:51;Regular;Cabotaje;Despegue;SAZS;SAEZ;Aerolíneas Argentinas;BOEING B-737;D
26/11/2015;15:32;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SARC;SARC;N/A;CESSNA Citation;B
10/06/2016;19:28;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SA32;SADP;N/A;CESSNA C-150;A
12/06/2016;00:01;Regular;Cabotaje;Aterrizaje;SABE;SAVT;Aerolíneas Argentinas;BOEING B-737;D
21/02/2015;17:36;No Regular;Cabotaje;Despegue;SADF;SAME;N/A;LEARJET LJ-60;C
06/12/2015;12:00;Regular;Cabotaje;Aterrizaje;SAVT;SABE;Aerolíneas Argentinas;BOEING B-737;C
08/09/2014;21:19;Regular;Internacional;Aterrizaje;SBGL;SABE;Aerolíneas Argentinas;BOEING B-737;D
19/02/2014;20:21;Regular;Cabotaje;Aterrizaje;SAWC;SAWH;Austral Líneas Aéreas;EMBRAER E-190;C
14/01/2016;17:14;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAAR;SACO;N/A;CESSNA C-172;A
21/04/2016;15:31;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SADF;SADF;N/A;AGUSTA Helicóptero;
05/11/2015;12:11;Regular;Cabotaje;Aterrizaje;SAZM;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
19/01/2015;17:06;Regular;Internacional;Aterrizaje;SBGR;SABE;TAM Linhas Aéreas;AIRBUS A-320;C
23/08/2014;03:25;Regular;Cabotaje;Despegue;SANU;SABE;Aerolíneas Argentinas;BOEING B-737;C
01/06/2017;01:47;Regular;Cabotaje;Aterrizaje;SAZN;SABE;Aerolíneas Argentinas;BOEING B-737;D
26/02/2017;18:21;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SAZS;SAZY;N/A;PIPER PA-28;A
25/01/2018;14:43;No Regular;Cabotaje;Aterrizaje;AR-0369;SAZN;American Jet;DORNIER DO28;A
23/02/2018;03:34;Regular;Cabotaje;Aterrizaje;SAZS;SAEZ;LATAM Argentina;AIRBUS A-320;C
15/12/2017;11:39;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAZN;LCP;N/A;PIPER PA-31;A
29/11/2016;12:07;Regular;Cabotaje;Despegue;SAWH;SABE;Aerolíneas Argentinas;BOEING B-737;D
30/09/2016;00:04;Regular;Cabotaje;Aterrizaje;SABE;SARE;Austral Líneas Aéreas;EMBRAER E-190;C
09/07/2016;17:59;Regular;Cabotaje;Despegue;SABE;SASA;Aerolíneas Argentinas;BOEING B-737;D
10/12/2017;17:12;Regular;Cabotaje;Despegue;SAME;SAZN;Austral Líneas Aéreas;EMBRAER E-190;C
17/10/2016;03:17;Regular;Internacional;Aterrizaje;SCEL;SABE;Aerolíneas Argentinas;BOEING B-737;D
06/07/2015;21:58;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SAZB;SABE;N/A;CESSNA Citation;B
23/08/2017;19:03;Regular;Cabotaje;Despegue;SAZN;SAVC;Austral Líneas Aéreas;EMBRAER E-190;C
21/04/2016;18:28;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAWG;AR-0316;N/A;PIPER PA-28;A
14/07/2015;21:57;Regular;Cabotaje;Despegue;SAWC;SAWG;LADE - Líneas Aéreas Del Estado;SAAB SF34;B
08/02/2014;10:09;Regular;Internacional;Despegue;SAEZ;SCEL;Sky Airline;AIRBUS A-320;C
02/07/2017;23:28;Regular;Cabotaje;Despegue;SAZS;SABE;Aerolíneas Argentinas;BOEING B-737;D
06/01/2015;13:28;Regular;Cabotaje;Aterrizaje;SACO;SABE;Aerolíneas Argentinas;BOEING B-737;C
07/03/2014;14:47;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SATR;SANE;N/A;PIPER PA-31;A
01/12/2017;15:49;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;AR-0257;SADM;N/A;CESSNA C-150;A
06/12/2015;14:37;Regular;Internacional;Despegue;SABE;SLVR;Austral Líneas Aéreas;EMBRAER E-190;C
04/12/2017;18:36;No Regular;Cabotaje;Despegue;SAZM;SARI;N/A;LEARJET LJ-31;C
19/03/2014;15:02;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SADF;SADF;N/A;ROBINSON Helicóptero;
05/03/2014;23:15;Regular;Internacional;Despegue;SABE;SUMU;BQB Líneas Aéreas;ATR AT72;B
03/11/2016;12:04;Vuelo Privado con Matrícula Nacional;Internacional;Despegue;SADF;SUAA;N/A;BEECHCRAFT BE90;B
16/10/2017;15:41;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SADM;SAZT;N/A;CESSNA C-150;A
21/09/2015;02:31;Regular;Internacional;Aterrizaje;SCEL;SAEZ;LATAM;AIRBUS A-320;C
05/03/2015;07:51;Regular;Cabotaje;Aterrizaje;SAVC;SABE;Aerolíneas Argentinas;BOEING B-737;D
25/04/2017;19:50;Regular;Cabotaje;Aterrizaje;SAZS;SABE;LATAM Argentina;AIRBUS A-320;C
12/01/2014;08:22;Regular;Cabotaje;Despegue;SABE;SAWG;Austral Líneas Aéreas;EMBRAER E-190;C
27/02/2015;21:39;Vuelo Privado con Matrícula Nacional;Internacional;Aterrizaje;SUCM;SADF;N/A;AEROSPATIALE Helicóptero;
28/06/2014;00:02;Regular;Cabotaje;Aterrizaje;SAME;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
01/07/2017;23:28;Regular;Cabotaje;Aterrizaje;SACO;SAEZ;Austral Líneas Aéreas;EMBRAER E-190;C
07/11/2017;02:35;Regular;Cabotaje;Aterrizaje;SABE;SAZN;Aerolíneas Argentinas;BOEING B-737;D
06/04/2014;01:36;Regular;Cabotaje;Aterrizaje;SASJ;SABE;Aerolíneas Argentinas;BOEING B-737;D
18/02/2017;21:29;Regular;Internacional;Aterrizaje;MDPC;SAEZ;Aerolíneas Argentinas;AIRBUS A-330;C
26/07/2017;03:44;Regular;Cabotaje;Aterrizaje;SAVT;SABE;Aerolíneas Argentinas;BOEING B-737;D
12/04/2015;16:16;Regular;Internacional;Aterrizaje;SCEL;SAEZ;LATAM;AIRBUS A-320;C
20/03/2015;19:01;Regular;Internacional;Aterrizaje;SBGR;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
05/01/2015;12:05;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SAZM;N/A;BEECHCRAFT BE20;B
16/04/2015;16:28;Regular;Cabotaje;Despegue;SABE;SASA;Aerolíneas Argentinas;BOEING B-737;D
04/02/2014;18:36;No Regular;Cabotaje;Aterrizaje;SAVT;SAZB;SOL Líneas Aéreas;SAAB SF34;B
17/11/2017;18:56;Regular;Cabotaje;Aterrizaje;SAZN;SAZB;Austral Líneas Aéreas;EMBRAER E-190;C
12/07/2015;20:13;Regular;Cabotaje;Aterrizaje;SAWG;SAVC;Aerolíneas Argentinas;BOEING B-737;D
01/06/2017;18:11;Regular;Cabotaje;Despegue;SAZY;SABE;Aerolíneas Argentinas;BOEING B-737;C
01/02/2015;20:13;Regular;Internacional;Despegue;SAEZ;SBFL;Gol Transportes Aéreos;BOEING B-737;D
16/03/2016;17:00;Regular;Cabotaje;Aterrizaje;SABE;SAVY;Andes Líneas Aéreas;MCDONNELL DOUGLAS MD80;C
24/09/2016;10:36;Regular;Internacional;Aterrizaje;LIRF;SAEZ;Alitalia;BOEING B-777;C
08/08/2017;20:48;Regular;Cabotaje;Despegue;SACO;SARI;Austral Líneas Aéreas;EMBRAER E-190;C
11/05/2014;13:40;Regular;Cabotaje;Aterrizaje;SABE;SARI;LATAM Argentina;AIRBUS A-320;C
17/06/2014;18:08;Regular;Internacional;Despegue;SAEZ;SLVR;Boliviana de Aviacion;BOEING B-737;C
12/07/2017;07:42;Regular;Cabotaje;Despegue;SABE;SAWH;Aerolíneas Argentinas;BOEING B-737;D
28/11/2016;16:13;Regular;Cabotaje;Aterrizaje;SABE;SARI;LATAM Argentina;AIRBUS A-320;C
08/02/2016;14:03;No Regular;Cabotaje;Aterrizaje;SANE;SANE;N/A;CESSNA C-182;B
13/12/2016;11:52;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SA02;SASA;N/A;BEECHCRAFT BE90;B
14/02/2018;04:32;Regular;Internacional;Despegue;SAAR;MPTO;Copa Airlines;BOEING B-737;D
13/04/2017;16:55;Regular;Cabotaje;Aterrizaje;SABE;SAAV;Austral Líneas Aéreas;EMBRAER E-190;C
08/11/2014;20:00;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAVY;SAVT;N/A;CESSNA C-172;A
28/09/2015;22:06;Regular;Cabotaje;Aterrizaje;SABE;SAME;Austral Líneas Aéreas;EMBRAER E-190;C
16/07/2015;14:29;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;AR-0038;SADM;N/A;PIPER PA-38;A
25/08/2014;12:41;Regular;Internacional;Aterrizaje;KJFK;SAEZ;American Airlines;BOEING B-777;C
17/08/2017;13:52;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADM;SADM;N/A;CESSNA C-150;A
16/09/2014;13:56;Vuelo Privado con Matrícula Nacional;Internacional;Despegue;SARP;SBNF;N/A;PIPER PA-28;A
19/03/2016;14:10;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAAG;SAAG;N/A;CESSNA C-210;B
